"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027902","1.68.1","398","","","","0"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027903","1.68.2","11","","","","0"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Other commercial movements","Number","223","units","0","v1376027904","1.68.3","","..","","","0"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Private movements","Number","223","units","0","v1376027905","1.68.4","143","","","","0"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Government civil movements","Number","223","units","0","v1376027906","1.68.5","","..","","","0"
"2022-01","Canada","2021A000011124","Cranbrook, British Columbia","Government military movements","Number","223","units","0","v1376027907","1.68.6","2","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027920","1.72.1","637","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Air carrier movements, level IV-VI","Number","223","units","0","v1376027921","1.72.2","70","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Other commercial movements","Number","223","units","0","v1376027922","1.72.3","11","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Private movements","Number","223","units","0","v1376027923","1.72.4","9","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Government civil movements","Number","223","units","0","v1376027924","1.72.5","36","","","","0"
"2022-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Government military movements","Number","223","units","0","v1376027925","1.72.6","4","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027866","1.52.1","5791","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Air carrier movements, level IV-VI","Number","223","units","0","v1376027867","1.52.2","264","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Other commercial movements","Number","223","units","0","v1376027868","1.52.3","161","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Private movements","Number","223","units","0","v1376027869","1.52.4","186","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Government civil movements","Number","223","units","0","v1376027870","1.52.5","88","","","","0"
"2022-01","Canada","2021A000011124","Edmonton International, Alberta","Government military movements","Number","223","units","0","v1376027871","1.52.6","32","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028388","1.5011.1","174","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Air carrier movements, level IV-VI","Number","223","units","0","v1376028389","1.5011.2","42","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Other commercial movements","Number","223","units","0","v1376028390","1.5011.3","777","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Private movements","Number","223","units","0","v1376028391","1.5011.4","298","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Government civil movements","Number","223","units","0","v1376028392","1.5011.5","41","","","","0"
"2022-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Government military movements","Number","223","units","0","v1376028393","1.5011.6","6","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027836","1.43.1","908","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Air carrier movements, level IV-VI","Number","223","units","0","v1376027837","1.43.2","364","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Other commercial movements","Number","223","units","0","v1376027838","1.43.3","144","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Private movements","Number","223","units","0","v1376027839","1.43.4","71","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Government civil movements","Number","223","units","0","v1376027840","1.43.5","2","","","","0"
"2022-01","Canada","2021A000011124","Fort McMurray, Alberta","Government military movements","Number","223","units","0","v1376027841","1.43.6","","..","","","0"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027842","1.45.1","88","","","","0"
