"REF_DATE","GEO","DGUID","Airports","Class of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Fort St. John, British Columbia","Civil local movements","Number","223","units","0","v1331261888","1.36.4","50","","","","0"
"2019-01","Canada","2021A000011124","Fort St. John, British Columbia","Military local movements","Number","223","units","0","v1331261889","1.36.5","","..","","","0"
"2019-01","Canada","2021A000011124","Fredericton International, New Brunswick","Total, itinerant and local movements","Number","223","units","0","v1331261890","1.37.1","7182","","","","0"
"2019-01","Canada","2021A000011124","Fredericton International, New Brunswick","Itinerant movements","Number","223","units","0","v1331261891","1.37.2","3518","","","","0"
"2019-01","Canada","2021A000011124","Fredericton International, New Brunswick","Local movements","Number","223","units","0","v1331261892","1.37.3","3664","","","","0"
"2019-01","Canada","2021A000011124","Fredericton International, New Brunswick","Civil local movements","Number","223","units","0","v1331261893","1.37.4","3664","","","","0"
"2019-01","Canada","2021A000011124","Fredericton International, New Brunswick","Military local movements","Number","223","units","0","v1331261894","1.37.5","","..","","","0"
"2019-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Total, itinerant and local movements","Number","223","units","0","v1331261865","1.27.1","2599","","","","0"
"2019-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Itinerant movements","Number","223","units","0","v1331261866","1.27.2","1511","","","","0"
"2019-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Local movements","Number","223","units","0","v1331261867","1.27.3","1088","","","","0"
"2019-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Civil local movements","Number","223","units","0","v1331261868","1.27.4","1088","","","","0"
"2019-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Military local movements","Number","223","units","0","v1331261869","1.27.5","","..","","","0"
"2019-01","Canada","2021A000011124","Grande Prairie, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261860","1.25.1","2470","","","","0"
"2019-01","Canada","2021A000011124","Grande Prairie, Alberta","Itinerant movements","Number","223","units","0","v1331261861","1.25.2","1838","","","","0"
"2019-01","Canada","2021A000011124","Grande Prairie, Alberta","Local movements","Number","223","units","0","v1331261862","1.25.3","632","","","","0"
"2019-01","Canada","2021A000011124","Grande Prairie, Alberta","Civil local movements","Number","223","units","0","v1331261863","1.25.4","632","","","","0"
"2019-01","Canada","2021A000011124","Grande Prairie, Alberta","Military local movements","Number","223","units","0","v1331261864","1.25.5","","..","","","0"
"2019-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Total, itinerant and local movements","Number","223","units","0","v1331261840","1.21.1","5663","","","","0"
"2019-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Itinerant movements","Number","223","units","0","v1331261841","1.21.2","5313","","","","0"
"2019-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Local movements","Number","223","units","0","v1331261842","1.21.3","350","","","","0"
"2019-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Civil local movements","Number","223","units","0","v1331261843","1.21.4","338","","","","0"
"2019-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Military local movements","Number","223","units","0","v1331261844","1.21.5","12","","","","0"
"2019-01","Canada","2021A000011124","Hamilton, Ontario","Total, itinerant and local movements","Number","223","units","0","v1331261850","1.23.1","2506","","","","0"
"2019-01","Canada","2021A000011124","Hamilton, Ontario","Itinerant movements","Number","223","units","0","v1331261851","1.23.2","2132","","","","0"
"2019-01","Canada","2021A000011124","Hamilton, Ontario","Local movements","Number","223","units","0","v1331261852","1.23.3","374","","","","0"
"2019-01","Canada","2021A000011124","Hamilton, Ontario","Civil local movements","Number","223","units","0","v1331261853","1.23.4","370","","","","0"
"2019-01","Canada","2021A000011124","Hamilton, Ontario","Military local movements","Number","223","units","0","v1331261854","1.23.5","4","","","","0"
"2019-01","Canada","2021A000011124","High Level, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261920","1.48.1","443","","","","0"
"2019-01","Canada","2021A000011124","High Level, Alberta","Itinerant movements","Number","223","units","0","v1331261921","1.48.2","387","","","","0"
"2019-01","Canada","2021A000011124","High Level, Alberta","Local movements","Number","223","units","0","v1331261922","1.48.3","56","","","","0"
"2019-01","Canada","2021A000011124","High Level, Alberta","Civil local movements","Number","223","units","0","v1331261923","1.48.4","56","","","","0"
"2019-01","Canada","2021A000011124","High Level, Alberta","Military local movements","Number","223","units","0","v1331261924","1.48.5","","..","","","0"
"2019-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Total, itinerant and local movements","Number","223","units","0","v1331261815","1.15.1","347","","","","0"
"2019-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Itinerant movements","Number","223","units","0","v1331261816","1.15.2","317","","","","0"
"2019-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Local movements","Number","223","units","0","v1331261817","1.15.3","30","","","","0"
"2019-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Civil local movements","Number","223","units","0","v1331261818","1.15.4","30","","","","0"
"2019-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Military local movements","Number","223","units","0","v1331261819","1.15.5","","..","","","0"
"2019-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Total, itinerant and local movements","Number","223","units","0","v1331261820","1.17.1","468","","","","0"
"2019-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Itinerant movements","Number","223","units","0","v1331261821","1.17.2","466","","","","0"
"2019-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Local movements","Number","223","units","0","v1331261822","1.17.3","2","","","","0"
"2019-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Civil local movements","Number","223","units","0","v1331261823","1.17.4","2","","","","0"
"2019-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Military local movements","Number","223","units","0","v1331261824","1.17.5","","..","","","0"
"2019-01","Canada","2021A000011124","Iqaluit, Nunavut","Total, itinerant and local movements","Number","223","units","0","v1331261895","1.38.1","1285","","","","0"
"2019-01","Canada","2021A000011124","Iqaluit, Nunavut","Itinerant movements","Number","223","units","0","v1331261896","1.38.2","1281","","","","0"
"2019-01","Canada","2021A000011124","Iqaluit, Nunavut","Local movements","Number","223","units","0","v1331261897","1.38.3","4","","","","0"
"2019-01","Canada","2021A000011124","Iqaluit, Nunavut","Civil local movements","Number","223","units","0","v1331261898","1.38.4","4","","","","0"
"2019-01","Canada","2021A000011124","Iqaluit, Nunavut","Military local movements","Number","223","units","0","v1331261899","1.38.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kamloops, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331262085","1.113.1","3157","","","","0"
"2019-01","Canada","2021A000011124","Kamloops, British Columbia","Itinerant movements","Number","223","units","0","v1331262086","1.113.2","1721","","","","0"
"2019-01","Canada","2021A000011124","Kamloops, British Columbia","Local movements","Number","223","units","0","v1331262087","1.113.3","1436","","","","0"
"2019-01","Canada","2021A000011124","Kamloops, British Columbia","Civil local movements","Number","223","units","0","v1331262088","1.113.4","1436","","","","0"
"2019-01","Canada","2021A000011124","Kamloops, British Columbia","Military local movements","Number","223","units","0","v1331262089","1.113.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kelowna, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331262055","1.100.1","6690","","","","0"
"2019-01","Canada","2021A000011124","Kelowna, British Columbia","Itinerant movements","Number","223","units","0","v1331262056","1.100.2","5054","","","","0"
"2019-01","Canada","2021A000011124","Kelowna, British Columbia","Local movements","Number","223","units","0","v1331262057","1.100.3","1636","","","","0"
"2019-01","Canada","2021A000011124","Kelowna, British Columbia","Civil local movements","Number","223","units","0","v1331262058","1.100.4","1636","","","","0"
"2019-01","Canada","2021A000011124","Kelowna, British Columbia","Military local movements","Number","223","units","0","v1331262059","1.100.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kenora, Ontario","Total, itinerant and local movements","Number","223","units","0","v1331262060","1.101.1","534","","","","0"
"2019-01","Canada","2021A000011124","Kenora, Ontario","Itinerant movements","Number","223","units","0","v1331262061","1.101.2","486","","","","0"
